id;start_date;end_date;language
1;2022-08-06T03:27:34;2022-08-06T00:36:43;SPANISH
2;2022-08-06T07:40:36;2022-08-05T22:38:14;FRENCH
3;2022-08-06T06:39:09;2022-08-05T16:40:08;SPANISH
4;2022-08-06T07:27:16;2022-08-05T21:20:58;SPANISH
5;2022-08-05T17:45:57;2022-08-05T11:15:51;ENGLISH
6;2022-08-06T02:02:54;2022-08-06T10:26:19;SPANISH
7;2022-08-05T17:36:37;2022-08-05T19:57:13;FRENCH
8;2022-08-05T13:28:36;2022-08-06T07:27:33;SPANISH
9;2022-08-06T02:02:18;2022-08-05T11:00:15;FRENCH
10;2022-08-06T09:39:41;2022-08-05T15:11:02;SPANISH
